,maiorAtraso,margemBrutaAcumulada,prazoMedioRecebimentoVendas,titulosEmAberto,diferencaPercentualRisco,percentualRisco,faturamentoBruto,margemBruta,periodoDemonstrativoEmMeses,custos,anoFundacao,capitalSocial,scorePontualidade,Risco_Baixo,Risco_Medio,Risco_Muito Baixo,cluster
7629,5,0.3850594582,246,7375.77,0.75,0.25,707752,0,12,0,2008,50000,0,1,0,0,0
7630,26,0.0,0,0.0,0.75,0.25,2119301,0,12,0,2015,20000,0,1,0,0,0
7631,27,0.0,0,0.0,0.7499999999999999,0.25,1912088,0,12,0,2012,200000,0,1,0,0,0
7632,0,0.0,0,0.0,0.6964285714285714,0.3035714285714285,174699,0,11,0,2015,50000,0,1,0,0,0
7633,0,0.0,0,0.0,0.9642857142857142,0.0357142857142857,38547815,13756623,12,24791192,1972,88000,0,0,0,1,1
7634,0,0.43236326740000003,0,0.0,0.6428571428571428,0.3571428571428571,0,0,1,0,2016,91403112,1,0,1,0,3
7635,0,0.0,0,0.0,0.7321428571428571,0.2678571428571428,355154,0,12,0,2004,16100,0,1,0,0,0
7636,0,0.0,0,0.0,0.5178571428571428,0.4821428571428571,762307,0,7,0,2020,10000,0,0,1,0,3
7637,0,0.0,0,0.0,0.625,0.375,46524,0,7,0,2020,10000,0,0,1,0,3
7638,0,0.5875687962,17,69735.0,0.75,0.25,70915028,12288807,12,58626221,2019,4000000,1,1,0,0,0
7639,0,0.5803534392,0,0.0,0.8035714285714285,0.1964285714285714,4945926000,0,12,0,2011,502072686,1,1,0,0,2
7640,98,0.6054713933,0,0.0,1.0,0.0,0,16209878,10,28390609,2006,11214526,0,0,0,1,1
7641,3,0.45671550479999995,0,0.0,0.4821428571428571,0.5178571428571428,0,0,1,0,2020,120000,1,0,0,0,3
7642,19,0.6274810679999999,0,102962.08,0.75,0.25,1588735,595776,12,992959,2018,200000,1,1,0,0,0
7643,149,0.24590085109999998,222,94801.68,0.8035714285714285,0.1964285714285714,14762262,7127474,9,7634788,2011,1425000,1,1,0,0,0
7644,0,0.5166957024000001,0,0.0,0.75,0.25,6299957,0,12,0,1997,150000,1,1,0,0,0
7645,0,0.0,0,0.0,0.625,0.375,896141,0,5,0,2020,0,0,0,1,0,3
7646,43,0.0,0,0.0,0.8035714285714285,0.1964285714285714,10932757,4207326,12,6725431,1981,200000,0,1,0,0,0
7647,15,0.36924787299999995,60,111317.29,0.7142857142857142,0.2857142857142857,23996953,13011148,12,10985805,2004,300000,0,1,0,0,0
7648,48,0.48498308619999997,119,853399.2,0.75,0.25,17415430,1560732,11,15854698,1991,600000,0,1,0,0,0
7649,14,0.4888255182,0,0.0,0.5178571428571428,0.4821428571428571,396973,0,12,0,2010,40000,1,0,1,0,3
7650,0,0.0,0,0.0,0.6964285714285714,0.3035714285714285,918481,0,12,0,2011,15000,0,1,0,0,0
7651,0,0.497727451,241,7140.0,0.5714285714285714,0.4285714285714285,578223,0,12,0,2020,80000,1,0,1,0,3
7652,0,0.0040016431,0,12560.0,0.5892857142857142,0.4107142857142857,4062619,422928,12,3639691,2018,100000,1,0,1,0,3
7653,0,0.47658503210000003,7,7135.0,1.0,0.0,0,16209878,10,28390609,2006,11214526,1,0,0,1,1
7654,0,0.47658503210000003,7,7135.0,0.7857142857142857,0.2142857142857142,110539,54865,12,55674,2007,100000,1,1,0,0,0
7655,17,0.490601749,0,0.0,0.4821428571428571,0.5178571428571428,1230630,0,12,0,1983,50000,0,0,0,0,3
7656,0,0.0,0,0.0,0.625,0.375,382002,0,12,0,2018,30000,0,0,1,0,3
7657,17,0.490601749,0,0.0,1.0,0.0,0,16209878,10,28390609,2006,11214526,0,0,0,1,1
7658,0,0.0,0,0.0,1.0,0.0,0,16209878,10,28390609,2006,11214526,0,0,0,1,1
7659,0,0.0,0,0.0,1.0,0.0,0,16209878,10,28390609,2006,11214526,0,0,0,1,1
7660,3,0.1818755793,0,0.0,0.8928571428571428,0.1071428571428571,3105762,1383156,12,1722606,1989,60000,1,0,0,1,1
7661,7,0.0,0,0.0,0.5178571428571428,0.4821428571428571,316907,0,6,0,2019,99800,0,0,1,0,3
